,Station1,Station1_Lat,Station1_Lon,Station2,Station2_Lat,Station2_Lon,velocity_period_1,velocity_period_2,velocity_period_3,velocity_period_4,velocity_period_5,velocity_period_6,velocity_period_7,velocity_period_8,velocity_period_9,velocity_period_10,velocity_period_11,velocity_period_12,velocity_period_13,velocity_period_14,velocity_period_15
186,UW.RVW,46.14975,-122.742996,YH.MF21,46.354801,-122.225197,,,,,2.14596783461808,,,,,,,,,,
187,UW.ELW,47.494099,-121.872673,XU.N120,47.216499,-121.481903,,,,,,,,,,,,,,,
188,UW.PNLK,47.58162,-122.03483,XU.S100,46.980099,-121.108398,,,,,,,,,,,,,,,
189,XD.MF07,46.425629,-122.002274,XD.MH07,46.279812,-122.082024,,,,,,,,,,,,,,,
190,XD.ME02,46.439159,-122.707336,XD.MG06,46.35014,-122.217453,,,,,2.164198914631601,,,,,,,,,,
191,UW.BDGR,46.85763,-120.29764,UW.ELL,46.909512,-120.567513,,,,,,,,,,,,,,,
192,UW.ASR,46.15259,-121.60164,UW.CDF,46.11712,-122.04625,,,,,,,,,,,,,,,
193,UW.NAC,46.733009,-120.824852,XD.MI04,46.195938,-122.410149,,,,,2.4398935828877004,,,,,,,,,,
194,XD.MH09,46.297668,-121.801033,XD.MJ06,46.167049,-122.26062,,,,,,,,,,,,,,,
195,CC.ELBE,46.76645,-122.19329,CC.RUSH,46.90305,-121.94419,,,,,2.420642071197411,,,,,,,,,,
196,CC.TRON,46.9977,-122.1753,UW.ETW,47.60451,-120.33265,,,,,1.666873821989529,,,,,,,,,,
197,CC.ARAT,46.789,-121.853,CC.ELBE,46.76645,-122.19329,,,,,,,,,,,,,,,
198,UW.SP2,47.55629,-122.249229,XU.E030,47.4473,-121.7798,,,,,1.7255133674071161,,,,,,,,,,
199,CC.UNFR,46.27251,-122.291983,UW.TOUT,46.30318,-122.56306,,,,,,,,,,,,,,,
200,XD.MH03,46.268421,-122.594116,XD.MJ02,46.138771,-122.701202,,,,,,,,,,,,,,,
201,UW.ELW,47.494099,-121.872673,UW.HTW,47.80377,-121.76887,,,,,,,,,,,,,,,
202,XU.N085,47.068699,-122.383598,XU.S080,47.004002,-121.988098,,,,,,,,,,,,,,,
203,XD.MD09,46.50288,-121.706711,XD.MK11,46.152538,-121.601936,,,,,3.068003622159091,,,,,,,,,,
204,UW.HSR,46.17428,-122.18065,YH.MF72,46.361099,-122.263901,,,,,,,,,,,,,,,
205,TA.D04A,47.110901,-122.803497,XU.S070,46.980499,-122.243896,,,,,3.048888957055215,,,,,,,,,,
206,UW.COWL,46.48204,-122.66461,UW.TOUT,46.30318,-122.56306,,,,,,,,,,,,,,,
207,CC.PANH,46.859032,-121.642592,XD.MH03,46.268421,-122.594116,,,,,2.5987042105263156,,,,,,,,,,
208,CC.STD,46.23749,-122.22421,XD.MI08,46.253849,-121.97448,,,,,,,,,,,,,,,
209,CC.STD,46.23749,-122.22421,YH.MF12,46.365799,-122.2202,,,,,,,,,,,,,,,
210,CC.PR02,46.918303,-122.048695,CC.SEP,46.19978,-122.190857,,,,,2.1270023255813952,,,,,,,,,,
211,CC.GTWY,46.740208,-121.916966,CC.VOIT,46.96636,-121.98328,,,,,3.2094071632329637,,,,,,,,,,
212,UW.TOLT,47.6947,-121.6895,XD.ME02,46.439159,-122.707336,,,,,,,,,,,,,,,
213,UW.TBM,47.16985,-120.59918,UW.TWW,47.13801,-120.86952,,,,,,,,,,,,,,,
214,UW.ELL,46.909512,-120.567513,XD.MD05,46.523159,-122.278168,,,,,,,,,,,,,,,
215,UW.ASR,46.15259,-121.60164,YH.MF64,46.329498,-122.295197,,,,,,,,,,,,,,,
216,CC.PR03,46.903433,-122.032691,UW.LTY,47.25451,-120.66636,,,,,,,,,,,,,,,
217,UW.HSR,46.17428,-122.18065,XD.MF09,46.389938,-121.861,,,,,,,,,,,,,,,
218,UW.RATT,47.42546,-121.80254,XD.MH07,46.279812,-122.082024,,,,,,,,,,,,,,,
